Product_url,Title,Brand,MRP,ASP,Availability,Image_url,About_this_item,Rating,Total_rating,On_fresh
https://www.amazon.in/dp/B094K9VDDX,"        Paper Boat Swing Slurpy Mango Juice, Enriched with Vitamin D, No Gmos, 600 ml       ",1,40.00,38.,  In Stock  ,https://m.media-amazon.com/images/I/51fFNVmFD4L._SX425_.jpg,"         This is a Vegetarian product.   
 About this item    Not only does this drink taste great but it feels great. With the added goodness of vitamin D, this drink takes care of 50% of your daily vitamin D requirement while satisfying your mango cravings!    Swing mango is a source of ascorbic acid that gives this drink its vitamin c properties and we all know how good that is!    A drink that loves you too: This drink does not contain any GMOs and is by nature gluten-free! We love a good drink that loves us back!    600 ml Pouch    
 ", 4.2 ,1749 ,Yes
https://www.amazon.in/dp/B00VWICRT6,"        Pepsi Swag Can 250 Milliliter, Vegetarian, Pack of 1       ",Pepsi,35,32,Out of stock,https://m.media-amazon.com/images/I/51xqVEPa4FL._SX522_.jpg,"         This is a Vegetarian product.   
 About this item    Pepsi    Outer package design may vary    Shake it up, seize the moment! #Liveitabhi    Pepsi    Outer package design may vary    Shake it up, seize the moment! #Liveitabhi    material_features:vegetarian    
    flavor_name:cola item_form:liquid   Show More  ", 4.2 ,61 ,No
https://www.amazon.in/dp/B094K8NL4Z,"        Paper Boat Swing Yummy Guava Juice, Enriched with Vitamin D, No Gmos, 600 ml       ",1,40.00,38.,  In Stock  ,https://m.media-amazon.com/images/I/51U6cpbp1iL._SX425_.jpg,"         This is a Vegetarian product.   
 About this item    This drink is sure to leave you feeling fresh and full of energy, that's right, not only does it taste good but it is also takes care of 50% of your daily vitamin D requirement!    Guava made better for you: this drink contains no GMOs and is by its nature gluten-free! We love you too!    A delicious source ascorbic acid that gives this drink its vitamin c properties, and as we all know, we could always do with a little extra vitamin c!    600 ml Pouch    
 ", 4.0 ,1685 ,Yes
https://www.amazon.in/dp/B07H398V3X,"        Pepsi Soft Drink, 750ml Pet Bottle       ",Pepsi,,,Out of stock,https://m.media-amazon.com/images/I/51J54vvDdJL._SX425_.jpg,"         This is a Vegetarian product.   
 About this item    Pepsi is the pop that shakes things up!    Big on taste    Contains caffeine    
 ", 4.3 ,364 ,No
https://www.amazon.in/dp/B0CG94GVMW,        Frooti Tetra 125ml (Pack of 1)       ,Frooti,10.,10.,  In Stock  ,https://m.media-amazon.com/images/I/514zB8ZoaGL._SX522_.jpg,"         This is a Vegetarian product.   
 About this item    Ingredient Type: Vegetarian    Pack of 1    Shake Well Before Consuming,    Store in a cool dry & hygenic place, away from sunlight    Do Not buy if pack is puffed or leaking    
 ", 4.8 ,10 ,Yes
https://www.amazon.in/dp/B07BFNG2XM,"        Thums Up Soft Drink PET Bottle, 750 ml       ",Thums Up,40.00,34.,  In Stock  ,https://m.media-amazon.com/images/I/31oL9BNfoHL._SX300_SY300_QL70_FMwebp_.jpg,"         This is a Vegetarian product.   
 About this item    STRONG TASTE: Refresh yourself with the strong taste of Thums Up    SPICY & FIZZY: This strong, spicy and fizzy cold drink is designed to suit your palate    TASTE THE THUNDER: Bring out the adventurous side of you with the thunderous taste of Thums Up drink    CREATE AND ENJOY MOMENTS: Enjoy this beverage with family, friends and relive the joy of togetherness    ON-THE GO BEVERAGE: Enjoy the strong taste of Thums Up soft drink on the go, with meals or at parties    RECYCLABLE PACKAGING: Thums UP cans are 100% recyclable, ensuring environmental sustainability    COMMONLY SEARCHED TOPICS: thums up, thums up drink, thums up soft drink, thums up cold drink, thums up can, thums up in fresh    
    form_factor:liquid; material_features:vegetarian flavor_name:Cola item_form:liquid   Show More  ", 4.4 ,11343 ,Yes
https://www.amazon.in/dp/B01GV3DK1U,"        Limca Lemon & Lime flavoured Soft Drink, 2 ltr Bottle       ",Limca,95.00,88.,  In Stock  ,https://m.media-amazon.com/images/I/51h6sAb8K6L._SX425_.jpg,"         This is a Vegetarian product.   
 About this item    Lime n lemony notes combine with a sharp fizz to quench your thirst and deliver a complete sensorial experience    It is refreshing    Material Features: Vegetarian    
 ", 4.4 ,2827 ,Yes
https://www.amazon.in/dp/B07G159MWF,"        Coca-Cola Original Taste Soft Drink PET Bottle, 2 L       ",Coca-Cola,95.00,85.,  In Stock  ,https://m.media-amazon.com/images/I/61y4HOllrdL._SX425_.jpg,"         This is a Vegetarian product.   
 About this item    ORIGINAL COLA FLAVOUR: Savor the refreshing cola flavor that is deliciously uplifting; item_form:liquid    TURN UP THE ENERGY: Turn up the energy with the delicious and refreshing taste of Coca-Cola Original; form_factor:liquid    MAKE MEALS TASTIER: Meals become tastier with Coca-Cola Original; material_features:vegetarian    BEST ENJOYED: Coca-Cola is best enjoyed ice-cold for maximum refreshment    CREATE AND ENJOY MOMENTS: Enjoy it with family, friends and relive the joy of togetherness    PERFECT SIZE: Enjoy Coca-Colaâ€s crisp, delicious taste on-the-go, with meals or at parties    RECYCLABLE PACKAGING: Coca-Cola cans are 100% recyclable, ensuring environmental sustainability    
    ALSO TRY: Coca-Cola Diet Coke, Coca Cola Zero Sugar COMMONLY SEARCHED TOPICS: coca-cola drink, coke, cold drinks, soft drinks, cola & soft drinks, coca cola, soft drink in fresh, cold drink in fresh   Show More  ", 4.4 ,8146 ,Yes
https://www.amazon.in/dp/B01LZFZ84E,"        Sprite Lemon-Lime Flavoured Cold Drink | Refreshing Taste | Clear Soft Drink with No Added Colours | Recyclable PET Bottle, 2 L       ",Sprite,95.00,88.,  In Stock  ,https://m.media-amazon.com/images/I/51uyMSzdbBL._SX425_.jpg,"         This is a Vegetarian product.   
 About this item    Clear out all the pressure of the week with Sprite's clear, crisp lemon-lime flavour    Sprite cold drink tastes best when chilled    It is a caffeine-free soft drink with no added color    Sprite soft drink comes in recyclable bottles    COMMONLY SEARCHED TERMS: sprite, sprite soft drink, sprite cold drink, soft drinks in pantry, sprite can, soft drinks    
 ", 4.4 ,10790 ,Yes
https://www.amazon.in/dp/B00GX9TS6O,"        Maaza Mango Drink, Original Flavour, 1.2 L PET Bottle       ",Maaza,75.00,69.,  In Stock  ,https://m.media-amazon.com/images/I/61+jGc7vLIL._SX425_.jpg,"         This is a Vegetarian product.   
 About this item    REAL MANGO INDULGENCE: Indulge yourself in real mango delight with Maaza, made from real mango pulp of hand-picked real Alphonso    RICH TASTE: Enjoy the sweet, rich and thick juicy pulp of mangoes with wholesome properties    READY TO SERVE FRUIT DRINK: This mango drink is ready to serve drink, so relish it anytime, anywhere    TASTES BEST WHEN CHILLED: Enhance your Maaza drinking experience by chilling it    ENJOY IT IN ANY SEASON: Experience the real taste of mangoes in every season with Maaza mango drink    COMMONLY SEARCHED TOPICS: maaza, maaza drink, maaza mango drink, fruit drink, mango drink, maaza in fresh, maaza bottle, maaza juice    
 ", 4.4 ,15522 ,Yes
https://www.amazon.in/dp/B004ZXK6FC,"        Coca-Cola Original Taste Soft Drink PET Bottle, 750 ml       ",Coca-Cola,40.00,37.,  In Stock  ,https://m.media-amazon.com/images/I/71YBmiSj-cL._SX425_.jpg,"   ORIGINAL COLA FLAVOUR: Savor the refreshing cola flavor that is deliciously uplifting    TURN UP THE ENERGY: Turn up the energy with the delicious and refreshing taste of Coca-Cola Original    MAKE MEALS TASTIER: Meals become tastier with Coca-Cola Original    BEST ENJOYED: Coca-Cola is best enjoyed ice-cold for maximum refreshment    CREATE AND ENJOY MOMENTS: Enjoy it with family, friends and relive the joy of togetherness    PERFECT SIZE: Enjoy Coca-Cola’s crisp, delicious taste on-the-go, with meals or at parties    RECYCLABLE PACKAGING: Coca-Cola cans are 100% recyclable, ensuring environmental sustainability    
    ALSO TRY: Coca-Cola Diet Coke, Coca Cola Zero Sugar COMMONLY SEARCHED TOPICS: coca-cola drink, coke, cold drinks, soft drinks, cola & soft drinks, coca cola, soft drink in fresh, cold drink in fresh   Show More  ", 4.4 ,8192 ,Yes
https://www.amazon.in/dp/B0177FCZ2G,"        Yakult Probiotic Health Drink Bottle, 65 ml| Pack of 5       ",Yakult,80.,80.,  In Stock  ,"https://m.media-amazon.com/images/I/51CFDdHur2L._SX522_PIbundle-5,TopRight,0,0_AA522SH20_.jpg","         This is a Vegetarian product.   
 About this item    Yakult Probiotic Health Drink    Drink    Skeemed milk, 6.5 billion lcs, sugar, water, glucose, no added flavour    
 ", 4.6 ,7674 ,Yes
https://www.amazon.in/dp/B0CG8RHFY4,"        Maaza Refresh Mango Drink, 135ml Tetra Pack       ",Maaza,10.,10.,  In Stock  ,https://m.media-amazon.com/images/I/51fquUaYc8L._SX522_.jpg,"         This is a Vegetarian product.   
 About this item    Total Quantity/Volume: 135 millilitre    Ingredient Type: Vegetarian    Brand: Maaza    Number of items - 1    Storage instructions: Store in a cool and dry place    
 ", 3.7 ,7 ,Yes
https://www.amazon.in/dp/B01LXTFLNQ,"        Minute Maid Pulpy Orange Juice drink | Orange Fruit Juice drink with Real Orange Pulp | Pulpy Orange Ready-To-Serve Drink, PET Bottle, 1 L       ",Minute Maid,90.00,79.,  In Stock  ,https://m.media-amazon.com/images/I/41XGMahiAEL._SX300_SY300_QL70_FMwebp_.jpg,"         This is a Vegetarian product.   
 About this item    0    COMMONLY SEARCHED TOPICS: minute maid pulpy orange juice, minute maid juice, minute maid orage juice, minute maid orange, minute maid pulpy, juices, fruit juice    PERFECT REFRESHMENT: Refresh yourself with the goodness of pulpy orange juice    READY-TO-SERVE FRUIT DRINK: It is a ready-to-serve fruit drink, so relish it anytime, anywhere    TASTES BEST WHEN CHILLED: Chill and shake well before consumption for maximum enjoyment    ORANGE PULP IN EVERY GULP: Enjoy the juicy punch of orange goodness in every gulp    GOODNESS OF REAL ORANGES: Minute Maid Pulpy Orange juice is made with real orange pulp    material features:vegetarian    
 ", 4.4 ,5932 ,Yes
https://www.amazon.in/dp/B0BX4H7HDN,"        Appy Fizz PET, 125 ml       ",Appy Fizz,,,Out of stock,https://m.media-amazon.com/images/I/318DzUOStoL._SX300_SY300_QL70_FMwebp_.jpg," 
 About this item    Apple Flavoured Sparkling Drink    
 ", 4.3 ,466 ,No
https://www.amazon.in/dp/B013P5VROE,"        Real Activ 100% Orange Fruit Juice - 1L | No Added Sugars & Preservatives | Rich in Vitamin C | Goodness of Best Oranges | Tasty, Refreshing & Energizing Fruit Drink       ",1,155,135,  In Stock  ,https://m.media-amazon.com/images/I/717GzS1P-uL._SX425_.jpg,"         This is a Vegetarian product.   
 About this item    No Added Sugar - The juices are not added with any sweeteners (artificial or nutritive) to keep it pure and natural.    No Added Colours - Be assured of no harmful chemical in your juice, so that all you get is health and taste. The colour of the juice is as natural as the fruit itself.    No Added Preservatives - Réal Activ's Tetra Pak technology keeps the juices fresh for 6 months. Hence there is no need to add any harmful ingredient, keeping your juice natural.    100% Juice Content - Réal Activ juices are made from concentrated fruit extracts, with the same amount of water as found in the original fruit. So all you get is pure fruit.    
 ", 4.2 ,5189 ,Yes
https://www.amazon.in/dp/B071YCHCN1,"        Cadbury Hot Chocolate Drink Powder Mix, 200 g       ",Cadbury,,,  In Stock  ,https://m.media-amazon.com/images/I/71dS4yVI6fL._SX425_.jpg,"         This is a Vegetarian product.   
 About this item    Authentic chocolate taste that is a joy to every tongue    Perfect way to make milk enjoyable for your children    
 ", 4.3 ,6115 ,Yes
